Xvariable,Humans,Model
0.00,1.05,0.87
20.00,1.30,1.06
40.00,1.45,1.21
60.00,1.60,1.30
80.00,1.75,1.59
100.00,2.00,1.65
120.00,1.90,1.83
140.00,2.15,1.98
160.00,2.35,2.12
180.00,2.70,2.35
